	10144	12
，	4085	20
的	3972	20
我	3530	17
了	3182	17
你	2966	20
[	2690	24
]	2690	26
。	2291	27
 	2016	18
？	1438	17
表情	1437	32
是	1190	16
图片	1187	16
不	1135	16
在	1001	17
就	925	19
老婆	908	12
老公	857	11
也	779	18
好	773	11
嗯	761	5
啊	691	11
吧	685	13
和	654	22
去	618	11
有	617	14
都	613	15
/	581	23
么	579	14
.	576	27
说	545	20
给	536	17
现在	532	11
那	519	12
没	507	12
可以	482	11
恩恩	452	8
哦	434	5
再	433	16
呢	430	12
要	430	16
！	425	114
吗	417	12
=	411	56
到	408	14
还	403	17
一个	391	14
您	380	15
这	332	9
看	331	20
没有	309	19
啥	307	15
:	294	24
%	290	75
不是	289	15
联系	288	20
我们	288	20
一会	287	11
想	274	14
自己	273	18
人	268	20
就是	267	12
什么	267	17
把	258	10
这个	252	13
知道	251	16
明天	250	8
能	244	21
对	242	24
&	239	63
您好	235	5
一下	231	13
有事	230	9
号	228	14
感觉	219	6
呵呵	218	12
_	215	35
那个	213	14
个	211	15
还是	208	11
-	207	32
今天	202	12
@	201	6
?	199	32
他	197	19
买	197	11
睡	191	9
得	189	21
多	185	13
已经	184	16
东西	180	11
会	175	29
：	174	15
宝贝	174	5
过	173	25
又	172	17
还有	171	17
做	170	12
上	167	19
让	166	20
谢谢	166	10
作业	165	14
很	164	21
找	162	9
1	161	33
大家	160	14
着	156	20
写	156	14
、	156	20
来	155	17
觉得	154	21
发送	150	16
…	150	9
好好	149	23
所以	141	18
等	139	23
啦	133	20
应该	133	13
看看	130	12
这样	130	12
老师	128	11
爱	128	12
时候	127	31
完	126	15
点	125	13
昂	125	22
用	124	13
不能	123	16
走	122	16
http	122	11
同学	122	18
回来	120	9
请	117	23
然后	117	19
如果	117	26
你们	116	42
谁	116	20
~	114	14
以后	113	10
加入	113	5
时间	110	15
需要	110	12
怎么	110	12
发	109	8
没事	109	9
本群	109	6
寄	108	11
一样	107	26
)	105	37
一起	102	38
(	102	29
下	102	14
窗口	99	12
直接	97	13
抖动	97	13
他们	96	13
呀	96	6
咋	95	25
黄黄	94	9
不用	94	13
可能	93	30
哒	92	14
月	92	24
吃	91	14
这么	90	15
先	90	8
哎	90	11
学校	90	21
下午	89	11
晚安	89	7
额	89	2
行	89	14
一	88	14
问题	88	27
com	88	25
2	88	15
是不是	88	19
真的	88	31
才	87	19
事	85	24
开始	85	22
宿舍	84	13
群	84	11
晚上	83	17
刚刚	83	9
问	82	8
但是	82	20
回	80	20
毕业	80	16
陪	80	16
已	79	24
准备	79	15
太	79	10
早点	78	7
苏宁	78	9
听	78	24
德语	78	8
箱子	78	9
看到	77	19
不行	77	22
几天	77	11
3	76	28
文件	75	25
比	75	24
那么	75	19
只能	74	12
大	74	18
拿	73	13
论文	73	14
里	73	29
带	73	34
信息	73	16
,	73	21
qq	72	34
帮	72	9
并	72	26
北京	71	15
过去	70	13
”	70	82
10	70	25
别人	70	19
不要	70	24
不想	70	16
弄	69	17
两个	69	11
苏州	69	7
西安	69	12
“	68	63
只是	67	29
被	67	23
不会	66	19
哪里	66	6
回去	64	18
估计	64	16
只有	64	18
哈哈哈	64	21
其他	63	18
挺	63	15
5	63	41
电脑	62	14
手机	62	21
视频	61	12
吃饭	61	8
6	61	13
打	61	18
复习	61	10
之前	61	30
钱	60	20
机器人	59	21
但	59	30
收拾	59	10
地方	59	21
结婚	59	18
早上	58	5
最后	58	21
好像	58	6
卖	58	14
7	58	11
群主	58	6
从	58	23
有人	58	5
人家	58	11
记得	58	18
最	58	27
的话	58	14
咱们	57	6
还要	57	15
为啥	57	14
多少	57	6
像	56	25
户口	56	29
加油	56	4
不好	55	14
一天	55	15
反正	55	10
#	55	58
快	55	9
过来	54	16
就行	54	15
肯定	54	12
数学	54	8
恩	54	4
崔琦给	54	4
有没有	53	6
这些	53	21
啥时候	52	11
住	52	15
照片	52	13
忙	52	22
填	51	9
cn	50	17
哪	50	12
分	50	68
拍	49	19
呗	49	12
一定	49	31
嘛	49	12
收到	49	3
她	49	25
参加	49	18
连接	49	53
玩	48	19
话	48	15
出来	47	23
一次	47	14
们	47	15
邮件	46	14
要是	46	17
考试	46	6
西电	46	9
20	46	24
兰州	46	9
办	46	19
不了	46	18
有些	46	18
完成	46	13
麻烦	46	10
因为	46	36
躺	46	12
成功	45	23
放心	45	45
休息	45	17
不过	44	15
不到	44	18
其实	44	37
书	44	18
英语	44	7
昨天	43	15
接收	43	26
比较	43	31
工作	43	23
死	43	30
后面	43	20
快递	43	7
那些	43	33
为什么	43	16
离线	42	29
真是	42	29
起来	42	11
一点	42	35
档案	42	22
出去	42	10
语文	42	2
爸妈	42	23
一直	42	35
刚	41	6
时	41	28
问问	41	7
看书	41	14
主要	41	12
学长	41	12
对方	40	35
2015	40	26
4	40	26
干	40	15
要求	40	19
情况	40	23
老	40	14
别	40	15
或者	40	17
⊙	40	2
真	39	23
送	39	12
发现	39	8
活动	39	16
以为	39	41
；	39	15
哪个	39	8
公司	39	26
哈哈	38	4
学院	38	37
喜欢	38	105
各位	38	12
所有	37	36
改	37	10
学习	37	11
这次	37	9
为	37	19
30	37	15
11	37	12
几个	37	13
最近	37	19
意思	37	7
反馈	37	61
报名	37	15
办法	36	24
15	36	34
后	36	37
穿	36	23
跑	36	12
连	36	22
只	36	14
希望	36	57
）	35	30
叫	35	19
就要	35	6
交	35	21
打电话	35	22
考	35	15
小	35	7
那边	35	10
不错	35	15
家长	35	13
行李	35	9
电话	35	14
大学	35	32
当	35	27
专业	35	12
～	35	4
中	34	32
与	34	34
我要	34	4
一份	34	11
8	34	10
袋子	34	9
答辩	34	14
单词	34	13
订单	34	12
作品	34	18
请问	34	6
17	34	9
抱怨	34	23
妈	34	38
html	34	29
装	33	7
（	33	26
怎么样	33	16
忘	33	8
学生	33	13
认识	33	9
告诉	33	43
一句	33	26
题	33	14
科沃	33	8
通知	33	13
填写	33	41
年	33	40
朋友	33	10
动态	33	18
页	32	17
这种	32	14
就行了	32	9
睡觉	32	4
一般	32	7
地址	32	23
斯	32	9
努力	32	22
爱情	32	8
孩子	32	18
呜呜	32	12
发表	32	16
王老师	32	2
早	31	11
找到	31	15
0	31	56
火车	31	9
里面	31	22
!	31	16
免费	31	18
高	31	17
前	31	12
失败	31	50
而且	30	12
咋办	30	11
懂	30	21
下去	30	19
块	30	29
好多	30	12
18	30	13
见	30	17
必须	30	17
没法	30	24
很多	30	11
特别	30	27
陪伴	30	26
呵	30	5
这里	30	19
密码	30	12
微信	29	13
德国	29	11
只要	29	11
重要	29	19
嘿嘿	29	4
开	29	11
基本	29	41
至少	29	18
男	29	8
包裹	29	16
黄志新	28	31
想想	28	50
放	28	34
饭	28	10
12	28	30
校区	28	20
小时	28	9
再说	28	8
到时候	28	5
将	28	34
擦	28	10
几年	28	7
cp	28	33
亲爱	28	11
样子	27	8
KB	27	49
每个	27	6
9	27	13
s	27	50
为了	27	9
这会	27	14
自营	27	9
以前	27	25
确定	27	15
妈妈	27	9
晶晶	27	13
除了	27	14
每天	27	9
听力	27	17
23	27	23
正在	26	8
说话	26	20
疼	26	11
事情	26	11
靠	26	9
楼	26	7
中午	26	9
唉	26	25
签字	26	27
赶紧	26	14
聊	26	17
爸	26	25
出	26	27
课	26	10
注意	26	18
难道	26	15
怕	26	20
技术	26	7
发给	26	12
当时	26	16
天天	26	15
难过	26	28
家	26	13
男人	26	16
介绍	26	10
考研	26	4
哭	26	16
不理	26	39
+	26	3
思想	25	11
材料	25	21
上午	25	7
搬	25	12
三个	25	10
有点	25	10
两天	25	8
最好	25	33
今年	25	5
消息	25	32
QQ	25	35
元	25	59
方便	25	15
照	25	14
站	25	11
根据	25	53
一张	25	21
突然	25	21
可爱	25	22
脸	25	13
丹丹	25	6
快睡吧	24	7
印	24	6
翻译	24	13
怎么办	24	5
新	24	9
结果	24	12
跟	24	5
这边	24	8
安排	24	15
刘文东	24	5
看着	24	30
根本	24	14
我妈	24	38
立即	24	47
有个	24	10
哈	24	10
可	24	35
建议	24	45
粤思	24	20
解决	24	57
今晚	24	14
学	24	10
咱	23	8
算了	23	23
后天	23	6
几点	23	8
或	23	34
天	23	16
全部	23	19
愿意	23	23
抄	23	13
没关系	23	6
个人	23	32
干嘛	23	19
家里	23	10
帮忙	23	13
合适	22	15
25	22	14
票	22	10
按	22	14
ok	22	1
本来	22	7
签证	22	27
22	22	10
更	22	20
这是	22	10
而	22	67
Meine	22	9
kleine	22	11
liebe	22	13
Prinzessin	22	15
简单	22	9
上面	22	12
本校	22	7
各	22	24
群里	22	14
分享	22	15
马上	21	7
摘要	21	29
继续	21	21
表	21	9
背	21	14
都行	21	16
乖乖	21	6
搞	21	12
中国	21	30
回家	21	12
实在	21	26
进去	21	10
那天	21	13
日	21	24
感谢	21	16
就算	21	12
学妹	21	14
完全	21	17
压力	21	28
好看	21	18
交流	21	18
丢	21	5
刘	21	15
双足	20	35
意见	20	13
画	20	6
名字	20	9
具体	20	14
宾馆	20	17
E5	20	80
假期	20	89
房子	20	12
滚	20	57
单元	20	13
第	20	18
贵	20	23
wifi	20	6
上海	20	19
你好	20	22
设计	20	13
生活	20	26
男生	20	10
虽然	20	16
分手	20	102
待	20	9
恶心	20	30
后悔	20	16
语音	20	50
班	20	17
16	20	13
小伙伴	20	17
加	19	13
无	19	8
还好	19	25
上次	19	29
算	19	15
mp	19	57
weixin	19	59
biz	19	70
mid	19	74
idx	19	78
sn	19	81
法语	19	1
200	19	9
成绩单	19	7
左右	19	5
关系	19	23
车	19	24
选	19	13
才能	19	24
大四	19	16
内容	19	15
班长	19	19
名额	19	10
